,0
0,0.0119104737374
1,0.0103591226538
2,0.00900983659617
3,0.00783629639327
4,0.00681561097226
5,0.00592787084535
6,0.00515575975539
7,0.00448421690499
8,0.00390014318064
9,0.00339214564143
10,0.00295031528836
11,0.00256603377946
12,0.00223180532037
13,0.00194111045143
14,0.0016882788791
15,0.00146837887124
16,0.00127712105873
17,0.00111077476705
18,0.000966095245774
19,0.000840260376446
20,0.000730815624353
21,0.000635626160378
22,0.000552835219027
23,0.000480827880361
24,0.000418199569374
25,0.000363728658359
26,0.000316352637831
27,0.000275147391229
28,0.000239309169094
29,0.000208138911137
30,0.000181028610367
31,0.000157449453312
32,0.000136941504981
33,0.000119104737374
34,0.000103591226538
35,9.00983659617e-05
36,7.83629639327e-05
37,6.81561097226e-05
38,5.92787084535e-05
39,5.15575975539e-05
40,4.48421690499e-05
41,3.90014318064e-05
42,3.39214564143e-05
43,2.95031528836e-05
44,2.56603377946e-05
45,2.23180532037e-05
46,1.94111045143e-05
47,1.6882788791e-05
48,1.46837887124e-05
49,1.27712105873e-05
50,1.11077476705e-05
51,9.66095245774e-06
52,8.40260376446e-06
53,7.30815624353e-06
54,6.35626160378e-06
55,5.52835219027e-06
56,4.80827880361e-06
57,4.18199569374e-06
58,3.63728658359e-06
59,3.16352637831e-06
60,2.75147391229e-06
61,2.39309169094e-06
62,2.08138911137e-06
63,1.81028610367e-06
64,1.57449453312e-06
65,1.36941504981e-06
66,1.19104737374e-06
67,1.03591226538e-06
68,9.00983659617e-07
69,7.83629639327e-07
70,6.81561097226e-07
71,5.92787084535e-07
72,5.15575975539e-07
73,4.48421690499e-07
74,3.90014318064e-07
75,3.39214564143e-07
76,2.95031528836e-07
77,2.56603377946e-07
78,2.23180532037e-07
79,1.94111045143e-07
80,1.6882788791e-07
81,1.46837887124e-07
82,1.27712105873e-07
83,1.11077476705e-07
84,9.66095245774e-08
85,8.40260376446e-08
86,7.30815624353e-08
87,6.35626160378e-08
88,5.52835219027e-08
89,4.80827880361e-08
90,4.18199569374e-08
91,3.63728658359e-08
92,3.16352637831e-08
93,2.75147391229e-08
94,2.39309169094e-08
95,2.08138911137e-08
96,1.81028610367e-08
97,1.57449453312e-08
98,1.36941504981e-08
99,1.19104737374e-08
