,cutoff1,cutoff2,double,single
0,-1.64485363,1.64485363,0.0001018,0.0006094000000000001
0,-0.0,0.0,0.10819549999999999,0.2834497
0,-4.1264895,1.4838773,0.0,0.0
0,-1.84257407,4.66747147,0.0,0.0002054000000000001
0,-12.72528877,2.47306889,0.0,0.0
0,-2.07904207,67.78431373,0.0,4.02e-05
0,-1.88720012,5.38918601,0.0,0.00015340000000000002
0,-0.04664165,67.78431373,0.0,0.35531440000000003
0,-1.76699381,2.81820812,0.0,0.0003494
0,2.34680053,6.0803495000000005,0.0,1.962075
0,-1.99649077,386911764.7058925,0.0,7.46e-05
0,-449999999.99997777,0.94643448,0.0,0.0
0,-5.39841247,386911764.7058925,0.0,0.0
0,-1.82737085,3.66699971,0.0,0.00022799999999999999
0,0.27302908,386911764.7058925,0.0,0.639838
0,-1.77551377,3.66699971,0.0,0.0003188
0,0.62396563,386911764.7058925,0.0,1.0091464
0,-1.89755482,41.99019608,0.0,0.00014780000000000001
0,-1.81540573,72.69747899,0.0,0.0002478
0,-1.05984255,386911764.7058925,0.0,0.013992600000000001
0,-1.89736389,7.40147494,0.0,0.0001498
0,-3.7633137000000003,50.58823529,0.0,0.0
0,-3.65278345,386911764.7058925,0.0,0.0
0,-1.81293143,50.58823529,0.0,0.0002434
0,-10.21828074,4.45422263,0.0,0.0
0,-1.78786415,386911764.7058925,0.0,0.0003122
0,-0.47772192,386911764.7058925,0.0,0.1180942
0,-1.89231161,18.42766035,0.0,0.00015419999999999998
0,-1.51918305,386911764.7058925,0.0,0.0014258
0,-1.85781913,12.57585139,0.0,0.00018140000000000002
0,-1.95720894,386911764.7058925,0.0,9.76e-05
0,-1.92915771,3.27800772,0.0,0.0001226
0,-0.15178162,386911764.7058925,0.0,0.28133220000000003
0,0.00355653,386911764.7058925,0.0,0.39441479999999995
0,-1.98820121,4.45422263,0.0,7.8e-05
0,-1.85714286,6.33444379,0.0,0.0001968
0,-1.01654893,386911764.7058925,0.0,0.0168454
0,0.42197661,514.88235294,0.0,0.7932345999999999
0,-1.9819469,9.28185862,0.0,8.94e-05
0,-1.98828669,386911764.7058925,0.0,7.979999999999999e-05
0,-2.31016728,3.48275259,0.0,9.6e-06
0,9.06685187,12.64484771,0.0,2.0
0,-6.2836137,2.47825159,0.0,0.0
0,2.51794257,12.64484771,0.0,1.9764228
0,-1.96652739,2.47825159,7e-07,8.809999999999999e-05
0,1.77832071,386911764.7058925,0.0,1.8498104
0,-1.76046165,24.64035159,0.0,0.00035039999999999995
0,-1.3383573999999998,386911764.7058925,0.0,0.00374
0,-1.29398947,24.64035159,0.0,0.004652600000000001
0,-2.49923951,6.65400423,0.0,1.4e-06
0,-1.33130009,9.66021943,0.0,0.0039434
0,-1.73160161,7.79806283,0.0,0.00041239999999999994
0,-3.04564251,9.66021943,0.0,0.0
0,-2.1978838,2062.52941173,0.0,1.82e-05
0,-2.7328608,2.21251756,0.0,2e-07
0,-0.2360208,5.87118556,0.0,0.2298922
0,-1.80508544,386911764.7058925,0.0,0.0002742
0,-1.99991947,34.29796591,0.0,7.5e-05
0,0.07189781,386911764.7058925,0.0,0.4516466
0,-21.73268174,5.23429452,0.0,0.0
0,-5.14789412,2.01609337,0.0,0.0
0,2.09412393,9.73476427,0.0,1.9274036
0,-1.81986994,23.63995851,0.0,0.0002356
0,-0.85955828,386911764.7058925,0.0,0.0318914
0,-1.10632038,386911764.7058925,0.0,0.0113914
0,-1.65149777,12.57585139,0.0,0.0006617999999999999
0,-1.91469104,9.45381859,0.0,0.0001298
0,0.67440926,102.17647059,0.0,1.062344
0,-2.00087152,9.45381859,0.0,7.52e-05
0,1.83151502,386911764.7058925,0.0,1.866168
0,2.34680053,6.0803495000000005,0.0,1.9622212
0,-1.9819468999999996,9.28185862,0.0,8.88e-05
0,-1.3383573999999998,386911764.7058925,0.0,0.0038044
0,-2.7328607999999996,2.21251756,0.0,0.0
0,2.34680053,6.0803495000000005,0.0,1.9623202
0,-1.3383573999999998,386911764.7058925,0.0,0.0037324
0,2.34680053,6.0803495000000005,0.0,1.9622198
0,-1.3383573999999998,386911764.7058925,0.0,0.0037595999999999997
0,-6.76936731,386911764.7058925,0.0,0.0
0,-16.93309569,16.01232237,0.0,0.0
0,-7.17373292,3.88486234,0.0,0.0
0,-3.2217252,7.39986053,0.0,0.0
0,-3.23501352,5.81898893,0.0,0.0
0,-0.51157673,7.39986053,0.0,0.1068136
